AA
KK
QQ
AKs
AQs
JJ
KQs
AJs
KJs
ATs
AKo
TT
QJs
KTs
QTs
JTs
99
AQo
A9s
KQo
T9s
A8s
K9s
J9s
A5s
Q9s
88
AJo
A7s
A4s
A6s
A3s
KJo
QJo
77
T8s
K8s
ATo
A2s
98s
K7s
Q8s
J8s
KTo
JTo
66
QTo
K6s
87s
K5s
97s
T7s
K4s
76s
55
K3s
Q7s
44
J7s
33
22
K2s
86s
65s
Q6s
54s
Q5s
96s
75s
Q4s
T9o
A9o
T6s
Q3s
J6s
64s
Q2s
85s
K9o
J9o
J5s
53s
Q9o
A8o
J4s
J3s
74s
95s
43s
J2s
T5s
A7o
A5o
T4s
63s
T8o
98o
A4o
T3s
84s
52s
T2s
A6o
42s
A3o
J8o
K8o
94s
87o
73s
Q8o
93s
32s
A2o
92s
62s
K7o
83s
97o
82s
76o
K6o
T7o
72s
65o
K5o
86o
54o
J7o
K4o
Q7o
75o
K3o
96o
K2o
Q6o
64o
Q5o
T6o
85o
53o
Q4o
J6o
Q3o
Q2o
74o
43o
J5o
95o
J4o
63o
T5o
J3o
J2o
T4o
52o
84o
T3o
42o
T2o
73o
94o
32o
93o
62o
92o
83o
82o
72o
